"Iteration","Avg. Movement"
"0","45.261005"
"1","39.011322"
"2","24.260759"
"3","24.733624"
"4","20.526979"
"5","13.726771"
"6","5.734117"
"7","3.716710"
"8","2.718893"
"9","1.615391"
"10","0.986445"
"11","0.900168"
"12","0.551804"
"13","0.398956"
"14","0.320618"
"15","0.251964"
"16","0.202382"
"17","0.160080"
"18","0.295564"
"19","0.222186"
"20","0.150668"
"21","0.155612"
"22","0.122269"
"23","0.227286"
"24","0.117577"
"25","0.140166"
"26","0.190580"
"27","0.113415"
"28","0.132991"
"29","0.102673"
"30","0.172499"
"31","0.100311"
"32","0.105093"
"33","0.090397"
"34","0.131797"
"35","0.089347"
"36","0.116613"
"37","0.090054"
"38","0.097813"
"39","0.066388"
"40","0.072414"
"41","0.113302"
"42","0.096806"
"43","0.053114"
"44","0.090994"
"45","0.075393"
"46","0.097839"
"47","0.037480"
"48","0.071911"
"49","0.055731"
"50","0.067360"
"51","0.069072"
"52","0.076246"
"53","0.056303"
"54","0.064897"
"55","0.060051"
"56","0.038939"
"57","0.051233"
"58","0.068202"
"59","0.046350"
"60","0.064871"
"61","0.066952"
"62","0.099330"
"63","0.037147"
"64","0.050560"
"65","0.043342"
"66","0.072300"
"67","0.052452"
"68","0.077068"
"69","0.037602"
"70","0.045724"
"71","0.037121"
"72","0.031795"
"73","0.054513"
"74","0.049314"
"75","0.057432"
"76","0.053934"
"77","0.036197"
"78","0.043017"
"79","0.036337"
"80","0.045431"
"81","0.033308"
"82","0.046022"
"83","0.039503"
"84","0.042788"
"85","0.046039"
"86","0.038560"
"87","0.040173"
"88","0.041170"
"89","0.049931"
"90","0.031853"
"91","0.040997"
"92","0.050045"
"93","0.027215"
"94","0.039351"
"95","0.039082"
"96","0.069447"
"97","0.036225"
"98","0.036559"
"99","0.036110"
