"Iteration","Avg. Movement"
"0","19.810379"
"1","12.606210"
"2","9.449007"
"3","8.630258"
"4","7.490040"
"5","4.950809"
"6","2.816097"
"7","1.897710"
"8","1.467012"
"9","0.950208"
"10","0.701927"
"11","0.788997"
"12","0.606116"
"13","0.317036"
"14","0.332028"
"15","0.443243"
"16","0.420314"
"17","0.280748"
"18","0.285810"
"19","0.147167"
"20","0.235020"
"21","0.138897"
"22","0.105513"
"23","0.246920"
"24","0.119674"
"25","0.241926"
"26","0.198560"
"27","0.278286"
"28","0.134203"
"29","0.114044"
"30","0.216128"
"31","0.111813"
"32","0.136099"
"33","0.136609"
"34","0.140143"
"35","0.205373"
"36","0.419253"
"37","0.145441"
"38","0.185667"
"39","0.114111"
"40","0.224939"
"41","0.139835"
"42","0.217229"
"43","0.071651"
"44","0.131058"
"45","0.198497"
"46","0.084545"
"47","0.084459"
"48","0.074061"
"49","0.122975"
"50","0.304422"
"51","0.082872"
"52","0.105347"
"53","0.063347"
"54","0.115927"
"55","0.108971"
"56","0.131007"
"57","0.062738"
"58","0.097997"
"59","0.065157"
"60","0.190633"
"61","0.104070"
"62","0.084430"
"63","0.072646"
"64","0.139579"
"65","0.082267"
"66","0.073557"
"67","0.070530"
"68","0.135084"
"69","0.061841"
"70","0.064386"
"71","0.156936"
"72","0.061089"
"73","0.089983"
"74","0.159885"
"75","0.131919"
"76","0.092850"
"77","0.088935"
"78","0.106313"
"79","0.142054"
"80","0.080477"
"81","0.060941"
"82","0.080792"
"83","0.067128"
"84","0.056698"
"85","0.069463"
"86","0.069185"
"87","0.059192"
"88","0.071598"
"89","0.095603"
"90","0.045194"
"91","0.047710"
"92","0.054706"
"93","0.052675"
"94","0.105320"
"95","0.090570"
"96","0.067492"
"97","0.101135"
"98","0.058305"
"99","0.074313"
