"Iteration","Avg. Movement"
"0","53.301781"
"1","29.336430"
"2","26.501135"
"3","19.749126"
"4","16.682346"
"5","10.763808"
"6","7.131646"
"7","2.992682"
"8","3.780449"
"9","1.759016"
"10","1.270905"
"11","1.203187"
"12","1.100535"
"13","0.609117"
"14","0.584499"
"15","0.553380"
"16","0.421249"
"17","0.341049"
"18","0.344827"
"19","0.588666"
"20","0.416740"
"21","0.374431"
"22","0.360906"
"23","0.363724"
"24","0.218649"
"25","0.270077"
"26","0.358815"
"27","0.221397"
"28","0.188236"
"29","0.235084"
"30","0.248360"
"31","0.159474"
"32","0.155881"
"33","0.248275"
"34","0.212487"
"35","0.225590"
"36","0.234779"
"37","0.173671"
"38","0.153168"
"39","0.168082"
"40","0.144822"
"41","0.195867"
"42","0.154289"
"43","0.149600"
"44","0.136906"
"45","0.112208"
"46","0.097407"
"47","0.103499"
"48","0.092617"
"49","0.105244"
"50","0.111657"
"51","0.088154"
"52","0.105869"
"53","0.134585"
"54","0.141602"
"55","0.101276"
"56","0.109711"
"57","0.100299"
"58","0.089249"
"59","0.065436"
"60","0.096292"
"61","0.094720"
"62","0.082367"
"63","0.079945"
"64","0.082651"
"65","0.067364"
"66","0.099642"
"67","0.091062"
"68","0.121823"
"69","0.082927"
"70","0.057308"
"71","0.062841"
"72","0.078409"
"73","0.089120"
"74","0.064334"
"75","0.094932"
"76","0.115367"
"77","0.071831"
"78","0.084307"
"79","0.064590"
"80","0.083536"
"81","0.052855"
"82","0.079100"
"83","0.059423"
"84","0.065166"
"85","0.104848"
"86","0.074047"
"87","0.066010"
"88","0.083901"
"89","0.075292"
"90","0.066436"
"91","0.069961"
"92","0.057707"
"93","0.067573"
"94","0.058409"
"95","0.058303"
"96","0.041691"
"97","0.080692"
"98","0.071417"
"99","0.051726"
